Frame,Object ID,Class,Traffic Status,Movement Direction,Entry/Exit Status
51,6,Vehicle,Moderate Traffic,Right,In Zone
51,7,Vehicle,Moderate Traffic,Left,Entered
52,1,Vehicle,Moderate Traffic,Right,In Zone
52,2,Vehicle,Moderate Traffic,Left,Entered
52,3,Vehicle,Moderate Traffic,Left,In Zone
52,4,Vehicle,Moderate Traffic,Left,In Zone
52,6,Vehicle,Moderate Traffic,Left,In Zone
52,7,Vehicle,Moderate Traffic,Left,Entered
53,1,Vehicle,Moderate Traffic,Right,In Zone
53,2,Vehicle,Moderate Traffic,Left,Entered
53,3,Vehicle,Moderate Traffic,Left,In Zone
53,4,Vehicle,Moderate Traffic,Left,In Zone
53,6,Vehicle,Moderate Traffic,Right,In Zone
53,7,Vehicle,Moderate Traffic,Left,Entered
54,1,Vehicle,Moderate Traffic,Right,In Zone
54,2,Vehicle,Moderate Traffic,Left,Entered
54,3,Vehicle,Moderate Traffic,Left,In Zone
54,4,Vehicle,Moderate Traffic,Left,In Zone
54,6,Vehicle,Moderate Traffic,Right,In Zone
54,7,Vehicle,Moderate Traffic,Left,Entered
55,1,Vehicle,Moderate Traffic,Left,In Zone
55,2,Vehicle,Moderate Traffic,Left,Entered
55,3,Vehicle,Moderate Traffic,Left,In Zone
55,4,Vehicle,Moderate Traffic,Left,In Zone
55,6,Vehicle,Moderate Traffic,Left,In Zone
55,7,Vehicle,Moderate Traffic,Left,Entered
56,1,Vehicle,Moderate Traffic,Right,In Zone
56,2,Vehicle,Moderate Traffic,Left,Entered
56,3,Vehicle,Moderate Traffic,Left,In Zone
56,4,Vehicle,Moderate Traffic,Left,In Zone
56,6,Vehicle,Moderate Traffic,Right,In Zone
56,7,Vehicle,Moderate Traffic,Left,Entered
57,1,Vehicle,Moderate Traffic,Right,In Zone
57,2,Vehicle,Moderate Traffic,Left,Entered
57,3,Vehicle,Moderate Traffic,Left,In Zone
57,4,Vehicle,Moderate Traffic,Left,In Zone
57,6,Vehicle,Moderate Traffic,Right,In Zone
57,7,Vehicle,Moderate Traffic,Left,Entered
58,1,Vehicle,Moderate Traffic,Right,In Zone
58,2,Vehicle,Moderate Traffic,Left,Entered
58,3,Vehicle,Moderate Traffic,Left,In Zone
58,4,Vehicle,Moderate Traffic,Left,In Zone
58,6,Vehicle,Moderate Traffic,Left,In Zone
58,7,Vehicle,Moderate Traffic,Left,Entered
59,1,Vehicle,Moderate Traffic,Right,In Zone
59,2,Vehicle,Moderate Traffic,Left,Entered
59,3,Vehicle,Moderate Traffic,Left,In Zone
59,4,Vehicle,Moderate Traffic,Left,In Zone
59,6,Vehicle,Moderate Traffic,Right,In Zone
59,7,Vehicle,Moderate Traffic,Left,Entered
60,1,Vehicle,Moderate Traffic,Right,In Zone
60,2,Vehicle,Moderate Traffic,Left,Entered
60,3,Vehicle,Moderate Traffic,Left,In Zone
60,4,Vehicle,Moderate Traffic,Left,In Zone
60,6,Vehicle,Moderate Traffic,Right,In Zone
60,7,Vehicle,Moderate Traffic,Left,Entered
61,1,Vehicle,Moderate Traffic,Right,In Zone
61,2,Vehicle,Moderate Traffic,Left,Entered
61,3,Vehicle,Moderate Traffic,Left,In Zone
61,4,Vehicle,Moderate Traffic,Right,In Zone
61,6,Vehicle,Moderate Traffic,Right,In Zone
61,7,Vehicle,Moderate Traffic,Left,Entered
62,1,Vehicle,Moderate Traffic,Right,In Zone
62,2,Vehicle,Moderate Traffic,Left,Entered
62,3,Vehicle,Moderate Traffic,Left,In Zone
62,4,Vehicle,Moderate Traffic,Left,In Zone
62,6,Vehicle,Moderate Traffic,Right,In Zone
62,7,Vehicle,Moderate Traffic,Left,Entered
63,1,Vehicle,Moderate Traffic,Right,In Zone
63,2,Vehicle,Moderate Traffic,Left,Entered
63,3,Vehicle,Moderate Traffic,Left,In Zone
63,4,Vehicle,Moderate Traffic,Left,In Zone
63,6,Vehicle,Moderate Traffic,Right,In Zone
63,7,Vehicle,Moderate Traffic,Left,Entered
64,1,Vehicle,Moderate Traffic,Left,In Zone
64,2,Vehicle,Moderate Traffic,Left,Entered
64,3,Vehicle,Moderate Traffic,Left,In Zone
64,4,Vehicle,Moderate Traffic,Left,In Zone
64,6,Vehicle,Moderate Traffic,Right,In Zone
64,7,Vehicle,Moderate Traffic,Left,Entered
65,1,Vehicle,Moderate Traffic,Right,In Zone
65,2,Vehicle,Moderate Traffic,Left,Entered
65,3,Vehicle,Moderate Traffic,Left,In Zone
